Season,Tm07,Tm08,Tm09,Player,Player,Pos,GP,G,A,PTS,+/-,PIM,SOG,SPCT,SHFT,GWG,GTG,FOW,FOL,FO%,%Tm,PPG,PPA,SHG,SHA,ESG,ESA,PPG,PPA,SHG,SHA,ESG,ESA,ESGFA,PPGFA,SHGFA,ESGAA,PPGAA,SHGAA,MOIEH,MOIPP,MOISH,TMOI,BkS,Hits,MsS,GvA,TkA,BkS,Hits,MsS,GvA,TkA,AESMOI,ASHMOI,APPMOI,PLEH,PLPP,PLSH,PLT,MIEH,MIPP,MISH,MIT,PC,PC*,PCOEH,PCOPPP,PCOPPO,PCOSH,PCOSO,PCO,PCO*,PCDEH,PCDPP,PCDSHK,PCDSHO,PCD,PCD*,Def,Value,WiS Value,OGIT,DIT,RPM,Val OG,ValO,Val D,ValD,Tot,Date of Birth,City,Pr/St,Ctry,Ht,Wgt,Jersey,Shts,Rook,S-O,S-OG,S-OGW,Cap Cost,Nat
2007-08,,Chi,Chi,"Kane, Patrick ",Patrick Kane,RW,82,21,51,72,-5,52,191,11.0%,,4,0,16,10,61.5%,0.5,7,21,0,0,14,30,6.5,19.5,0,0,14.3,30.7,2.96,7.6,0,2.91,1.11,7.21,1174.2,323.5,8.3,1506,7,16,56,22,49,0.3,0.6,2.2,0.9,2,14.3,0.1,3.9,58,41,0,99,57,6,1,64,79.7,105.8,28.8,18.7,1.9,-0.1,24.6,74,98.2,5.7,0.3,0.2,-0.5,5.7,7.6,46,2835406,"$2,835,406",39.4,28.6,-1.3,8.1,8.8,1.2,1.3,12.7,Nov 19 '88 ,Buffalo ,NY ,USA ,70,163,88,L ,Y ,,,,"$3,725,000",0
2006-07,Chi,Chi,Chi,"Sharp, Patrick ",Patrick Sharp,RW,80,20,15,35,-15,74,160,12.5%,1992,1,0,469,539,46.5%,22.5,5,0,3,1,12,14,10,0,3.9,1.3,14.6,17.1,2.44,3.19,1.03,3.36,0.8,6.72,983.2,150.4,232.1,1365.7,34,49,34,21,35,1.5,2.2,1.5,0.9,1.5,12.3,2.9,1.9,40,8,4,52,55,2,26,83,35,51.2,13.6,2.5,-0.7,6.1,7.6,29.1,42.6,2.4,0.2,7.3,-4,5.9,8.6,32,1212875,"$1,243,197",29.7,32.9,-10.3,0.4,0.5,0.9,1,1.4,27 Dec '81 ,Thunder Bay ,ON ,CAN ,73,197,10,R ,N,3,2,1,,0
2007-08,Chi,Chi,Chi,"Sharp, Patrick ",Patrick Sharp,LW/C,80,36,26,62,23,55,209,17.2%,,7,0,305,289,51.3%,13.6,9,5,7,2,20,19,10.4,5.8,11.2,3.2,22.8,21.6,3.48,5.53,2.87,2.56,0.46,3.5,1053.2,260.6,188.3,1502.1,27,50,64,22,44,1.1,2,2.6,0.9,1.8,13.2,2.4,3.3,61,24,9,94,45,2,11,58,77.6,103.3,33.8,9.6,-2.8,17.3,-0.1,57.8,76.9,7.1,0.5,12.2,0.1,19.8,26.4,70,5844846,"$5,990,967",34.2,30.3,22.5,9.7,9.9,5.6,5.7,14.8,Dec 27 '81 ,Thunder Bay ,ON ,CAN ,73,197,10,R ,,,,,"$775,000",0
2007-08,,Chi,Chi,"Kontiola, Petri ",Petri Kontiola,C,12,0,5,5,5,6,13,0.0%,,0,0,31,14,68.9%,6.6,0,0,0,0,0,5,0,0,0,0,0,39.5,2.76,2.8,0,0.79,0,52.94,152,21.5,1.1,174.6,0,13,3,5,6,0,4.5,1,1.7,2.1,12.7,0.1,1.8,7,1,0,8,2,0,1,3,0.8,9.7,0.3,-1.1,-0.3,0,0,-1.1,-12.3,2.4,0.1,-0.5,0,1.9,22,,,"$165,000",2.8,2.8,4.8,0.3,3,1,10.1,1.3,Oct 04 '84 ,Seinajoki ,,FIN ,72,198,34,R ,Y ,,,,"$812,500",0
2006-07,Chi,,Chi,"Parenteau, Pierre ",Pierre Parenteau,LW,5,0,1,1,-1,2,7,0.0%,77,0,0,1,1,50.0%,0.7,0,1,0,0,0,0,0,24.5,0,0,0,0,0,4.89,0,1.39,0,0,43.2,12.3,0,55.4,1,1,2,0,0,1.1,1.1,2.2,0,0,8.6,0,2.5,0,1,0,1,1,0,0,1,0,1.5,-1.1,0.5,0,0,0,-0.6,-22.4,0.6,0,0,0,0.7,23.9,,,"$165,000",1,0.6,-0.8,-0.1,-3,-0.1,-3,-0.2,24 Mar '83 ,Hull ,QC ,CAN ,71,194,,R ,Y ,0,0,0,,0
2006-07,Det,Chi,Chi,"Lang, Robert ",Robert Lang,C ,81,19,33,52,12,66,166,11.4%,1754,4,0,401,411,49.4%,17.7,6,11,0,0,13,22,6.2,11.4,0,0,14.7,24.8,3.05,5.38,0,1.86,1.24,0,1064,289.7,8.6,1362.3,16,33,76,104,36,0.7,1.5,3.3,4.6,1.6,13.1,0.1,3.6,54,26,0,80,33,6,0,39,35.7,52.4,22.8,6.6,0,-0.1,-1.2,28.1,41.3,13,-0.1,1,-6.3,7.6,11.1,75,3190582,"$3,229,972",30.9,24.1,1.8,4.3,5.2,2.7,3.3,7,19 Dec '70 ,Teplice ,,CZE ,75,216,20,R ,N,2,0,0,,0
2007-08,Det,Chi,Chi,"Lang, Robert ",Robert Lang,C,76,21,33,54,9,50,172,12.2%,,3,0,593,524,53.1%,27,7,10,0,0,14,23,7.5,10.7,0,0,15.8,26,2.93,6.01,0,2.31,0.43,9.46,1063.4,279.4,57.1,1399.9,22,25,45,33,28,0.9,1.1,1.9,1.4,1.2,14,0.8,3.7,52,28,0,80,41,2,9,52,41.5,59.2,25.3,10.3,-4.8,-0.7,2.8,33,47.1,8.5,0.5,0.4,-0.9,8.5,12.1,60,3559387,"$3,840,391",30.4,25.6,9.4,6.6,7.6,3.1,3.6,9.9,Dec 19 '70 ,Teplicev ,,CZE ,75,216,20,R ,,,,,"$4,000,000",0
2006-07,Ana,Pit,Chi,"Brent, Tim ",Tim Brent,C ,15,1,0,1,-5,6,14,7.1%,163,0,0,42,44,48.8%,10,0,0,0,0,1,0,0,0,0,0,11.9,0,0.6,0,0,3.58,0,0,100.7,1.2,1.9,103.7,1,7,5,3,0,0.6,4,2.9,1.7,0,6.7,0.1,0.1,1,0,0,1,6,0,0,6,-0.7,-13.6,-0.4,-0.1,0,0,0,-0.5,-10,0.2,0,0.2,-0.6,-0.2,-3.6,,,"$165,000",2.5,2.3,-5.6,-0.7,-13.1,-0.7,-13.1,-1.5,10 Mar '84 ,Cambridge ,ON ,CAN ,72,188,,R ,Y ,0,0,0,,0
2007-08,Ana,Pit,Chi,"Brent, Tim ",Tim Brent,C,1,0,0,0,-1,0,0,0.0%,,0,0,3,2,60.0%,7.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,4.6,0,0,4.6,0,0,0,0,0,0,0,0,0,0,4.6,0,0,0,0,0,0,1,0,0,1,-0.3,-132.8,-0.1,0,0,0,0,-0.1,-64.6,-0.2,0,0,0,-0.2,-68.2,,,"$165,000",0.3,0.3,-1.1,-0.1,-43.8,-0.2,-87.6,-0.3,Mar 10 '84 ,Cambridge ,,CAN ,72,188,47,R ,Y ,,,,"$495,000",0
2006-07,Chi,Chi,Chi,"Brouwer, Troy ",Troy Brouwer,RW,10,0,0,0,-7,7,7,0.0%,139,0,0,0,0,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,1.52,3,0,5.31,3,0,79.1,20,0,99.1,2,14,0,0,1,1.2,8.5,0,0,0.6,7.9,0,2,2,1,0,3,7,1,0,8,-3.5,-70.9,-2,-1,-0.1,0,0,-3,-60.6,-0.9,-0.1,0,0.5,-0.5,-10.3,,,"$165,000",3.2,2.6,-6.1,-1.5,-25.2,-0.9,-15.1,-2.4,17 Aug '85  ,Vancouver  ,BC  ,CAN  ,75,220,29,R  ,Y  ,0,0,0,,0
2007-08,Chi,Chi,Chi,"Brouwer, Troy ",Troy Brouwer,C/RW,2,0,1,1,1,0,0,0.0%,,0,0,0,0,0.0%,0,0,0,0,0,0,1,0,0,0,0,0,57.3,5.73,0,0,2.86,0,0,21,2.9,0,23.9,0,3,1,0,0,0,7.5,2.5,0,0,10.5,0,1.5,2,0,0,2,1,0,0,1,0.6,51.6,0.6,-0.1,-0.2,0,0,0.3,22,0.1,0,0,0.2,0.4,29.7,,,"$165,000",0.7,0.7,1,0,0,0.2,14.9,0.2,Aug 17 '85 ,Vancouver ,BC ,CAN ,75,220,26,R ,Y ,,,,"$675,000",0
2006-07,Tor,Chi,Chi,"Perreault, Yanic ",Yanic Perreault,C ,17,2,3,5,1,4,24,8.3%,239,0,0,89,51,63.6%,66,0,0,0,0,2,3,0,0,0,0,17.7,26.6,3.99,2.03,0,3.55,0,0,135.3,29.5,0.2,164.9,14,30,43,17,18,5.1,10.9,15.6,6.2,6.5,8,0,1.7,9,1,0,10,8,0,0,8,6.1,74.4,3.9,-1.6,0,0,2.4,4.6,56.2,0.4,0.1,0,0.9,1.5,18.2,,,"$165,000",4.3,4,0.8,-0.2,-2.1,0.4,4.1,0.2,04 Apr '71 ,Sherbrooke ,QC ,CAN ,71,185,94,L ,N,6,2,0,,1
2006-07,Pho,Chi,Chi,"Perreault, Yanic ",Yanic Perreault,C ,49,19,14,33,-2,30,101,18.8%,1136,5,0,417,249,62.6%,,7,5,0,0,12,9,11.3,8.1,0,0,22.2,16.6,2.31,5.51,0,2.03,0.97,24.55,649.3,185.2,26.9,861.4,,,,,,0,0,0,0,0,13.3,0.5,3.8,25,17,0,42,22,3,11,36,38.1,88.5,16.8,8.7,0,-0.4,1.8,27,62.6,11,0.1,-6.5,6.6,11.2,25.9,43,2974100,"$4,977,065",17.6,15.9,6.3,4.8,8.9,1.8,3.4,6.6,,,,,,,,,,,,,,1
2006-07,Tor,Chi,Chi,"Perreault, Yanic ",Yanic Perreault,C ,66,21,17,38,-1,34,125,16.8%,1375,5,0,506,300,62.8%,21.2,7,5,0,0,14,12,9.8,7,0,0,21.4,18.4,2.6,5.03,0,2.29,0.84,24.4,784.6,214.7,27.1,1026.3,30,14,43,17,18,1.8,0.8,2.5,1,1.1,11.9,0.4,3.3,34,18,0,52,30,3,11,44,44.3,86.3,20.7,7,0,-0.4,4.2,31.6,61.6,11.4,0.2,-6.5,7.5,12.7,24.7,32,2974100,"$3,695,094",21.9,19.9,7.1,3.5,5.5,1.4,2.2,5,04 Apr '71 ,Sherbrooke ,QC ,CAN ,71,185,94,L ,N,6,2,0,,2
2007-08,Tor,Chi,Chi,"Perreault, Yanic ",Yanic Perreault,C,53,9,5,14,-1,24,58,15.5%,,0,0,294,163,64.3%,15.9,0,1,0,1,9,3,0,6.6,0,7.8,20.5,6.8,2.4,2.63,1.56,2.63,0,6.25,525.6,45.7,38.4,609.8,12,17,12,15,12,1.2,1.7,1.2,1.5,1.2,9.9,0.7,0.9,21,2,1,24,23,0,4,27,5.2,17,8.4,-1.5,-3.4,0.3,-1.9,1.8,5.8,2.9,0.1,1.5,-1.1,3.4,11.2,52,1692577,"$2,618,704",12.9,12.8,-1.8,0,0,0.5,1.4,-0.1,Apr 04 '71 ,Sherbrooke ,QC ,CAN ,71,185,94,L ,,,,,"$1,500,000",0
2006-07,Ana,Clb,Clb,"Rome, Aaron ",Aaron Rome,D ,1,0,0,0,-1,0,1,0.0%,18,0,0,0,0,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.36,0,0,13.8,0,0.8,14.5,1,3,0,0,0,4.1,12.4,0,0,0,13.8,0.8,0,0,0,0,0,1,0,0,1,0.1,10.8,-0.1,0,0,0,0,-0.1,-15.9,-0.1,0,0.1,0.2,0.2,26.7,,,"$165,000",0.3,0.3,-1.1,-0.1,-13.1,-0.2,-26.2,-0.3,27 Sep '83 ,Brandon ,MB ,CAN ,73,204,34,L ,Y ,0,0,0,,0
2007-08,Ana,Clb,Clb,"Rome, Aaron ",Aaron Rome,D,17,1,1,2,-4,33,15,6.7%,,0,0,0,0,0.0%,0,0,0,0,0,1,1,0,0,0,0,4.6,4.6,1.38,0,0,2.08,2.86,8.58,260.1,21,28,309,17,33,9,4,2,3.3,6.4,1.7,0.8,0.4,15.3,1.6,1.2,6,0,0,6,9,1,4,14,8.1,52.2,0.9,-0.8,-0.3,-0.1,0,-0.2,-1.6,8.2,-1.7,0.8,1,8.3,53.8,,,"$165,000",4.5,6.4,-4,-0.1,-0.6,-0.3,-1.7,-0.5,Sep 27 '83 ,Brandon ,MB ,CAN ,73,204,44,L ,Y ,,,,"$495,000",0
2007-08,,Clb,Clb,"Pineault, Adam ",Adam Pineault,RW,3,0,0,0,-2,0,5,0.0%,,0,0,0,1,0.0%,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.62,0,0,33.1,0,0,33.1,0,1,1,0,1,0,1.8,1.8,0,1.8,11,0,0,0,0,0,0,2,0,0,2,-0.5,-33.2,-0.8,0,-0.2,0,0,-1.1,-64.1,0,0,0,0.5,0.5,30.9,,,"$165,000",0.7,0.6,-1.9,-0.3,-18.1,-0.3,-18.1,-0.6,May 23 '86 ,Holyoke ,MA ,USA ,73,201,41,R ,Y ,,,,"$638,889",0
2006-07,Clb,Clb,Clb,"Picard, Alexandre ",Alexandre Picard,LW,23,0,1,1,-3,6,20,0.0%,275,0,0,0,0,0.0%,0,0,1,0,0,0,0,0,67.9,0,0,0,0,0.34,13.58,0,1.37,0,0,174.9,4.4,0.6,180,5,33,5,1,2,1.7,11,1.7,0.3,0.7,7.6,0,0.2,1,1,0,2,4,0,0,4,-0.8,-9,-4.3,0.8,0,0,-0.6,-4.1,-45.2,2.8,0,0.1,0.4,3.3,36.2,52,165000,"$165,000",3,2.6,-2.5,-1.2,-13,-0.2,-2.2,-1.4,09 Oct '85 ,Les Saules ,QC ,CAN ,74,190,19,L ,Y ,1,0,0,,0
2007-08,Clb,Clb,Clb,"Picard, Alexandre ",Alexandre Picard,LW,3,0,0,0,0,10,24,0.0%,,1,0,0,0,0.0%,0,1,1,0,0,2,2,88.7,88.7,0,0,141.9,141.9,0,17.73,0,0,0,0,16.9,3.4,0,20.3,38,35,11,10,5,112.3,103.4,32.5,29.6,14.8,5.6,0,1.1,0,1,0,1,0,0,0,0,-0.1,-11.3,-0.4,-0.2,0.6,0,0,0,-3.8,0.5,0,0,-0.6,-0.1,-7.6,,,"$165,000",0,0,0,0,0,0,0,0,Jul 05 '85 ,Gatineau ,,CAN ,74,220,2,L ,,,,,"$533,333",0
2007-08,,Clb,Clb,"Murray, Andrew ",Andrew Murray,C/LW,39,6,4,10,0,12,45,13.3%,,0,0,15,17,46.9%,1.4,0,0,0,0,6,4,0,0,0,0,17.6,11.7,2.49,0,0,2.49,0,12.86,409.3,19.2,28,456.5,16,47,16,2,8,2.1,6.2,2.1,0.3,1.1,10.5,0.7,0.5,17,0,0,17,17,0,6,23,8.4,37,6.7,-1,-0.9,-0.3,0,4.4,19.5,3.4,0.1,-0.9,1.4,4,17.5,59,1232527,"$2,591,467",10.5,12.1,-0.5,-0.6,-2.4,1,4,0.4,Nov 06 '81 ,Selkirk ,MB ,CAN ,74,210,51,L ,Y ,,,,"$475,000",0
2006-07,StL,StL,Clb,"Backman, Christian ",Christian Backman,D ,61,7,11,18,13,36,80,8.8%,1690,0,0,0,0,0.0%,0,1,3,0,0,6,8,1.4,4.1,0,0,7.4,9.9,3.1,3.28,1.1,2.35,0,7.3,968.5,219.2,164.3,1352,92,15,45,35,19,4.1,0.7,2,1.6,0.8,15.9,2.7,3.6,50,12,3,65,38,0,20,58,43.9,64.9,12.3,-3.6,-0.4,-0.4,0,8,11.8,19.2,6.8,6,3.9,35.9,53.2,64,2627299,"$3,531,779",27.5,28.3,14.5,0.6,0.7,6.4,7.4,6.9,28 Apr '80 ,Alingsas ,,SWE ,76,206,,L ,N,0,0,0,,0
2007-08,StL,NYR,Clb,"Backman, Christian ",Christian Backman,D,18,,,,2,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1.92,6.08,0,1.49,0,3.36,281.3,39.5,17.9,338.7,,,,,,0,0,0,0,0,15.6,1,2.2,9,4,0,13,7,0,1,8,14,82.6,3.7,2.3,-0.3,0,0,5.6,32.8,8.9,1.1,1.6,-3.1,8.4,49.8,,,"$165,000",,,,,,,,,,,,,,,,,,,,,"$2,300,000",1
2007-08,StL,StL,Clb,"Backman, Christian ",Christian Backman,D,45,1,9,10,-4,30,30,3.3%,,,,0,0,0.0%,,,,,,,,0,0,0,0,0,0,2.17,4.72,0,2.44,0.47,4.39,689.9,127,54.7,871.6,,,,,,0,0,0,0,0,15.3,1.2,2.8,25,10,0,35,28,1,4,33,21.1,48.5,2.9,-3.4,0.5,-0.1,0,-0.2,-0.4,13.2,4.2,4.2,-0.4,21.3,48.9,46,820412,"$1,494,973",,,,,,,,,,,,,,,,,,,,,"$2,300,000",1
2007-08,StL,NYR,Clb,"Backman, Christian ",Christian Backman,D,63,3,15,18,-2,50,51,5.9%,,0,0,0,0,0.0%,0,1,4,0,0,2,11,1.8,7.2,0,0,2.5,13.6,2.1,5.05,0,2.16,0.36,4.13,971.2,166.5,72.6,1210.2,51,34,29,25,13,2.5,1.7,1.4,1.2,0.6,15.4,1.2,2.6,34,14,0,48,35,1,5,41,35.1,58,6.5,-1.2,0.2,-0.2,0,5.4,8.9,22.2,5.3,5.8,-3.5,29.7,49.2,50,1648529,"$2,145,704",24.3,21.4,2.1,0.9,1.2,2.8,3.9,3.7,Apr 28 '80 ,Gothenburg ,,SWE ,76,210,55,L ,,,,,"$2,300,000",2
2007-08,,Clb,Clb,"Wilson, Clay ",Clay Wilson,D,7,1,1,2,3,2,12,8.3%,,0,0,0,0,0.0%,0,0,1,0,0,1,0,0,9.2,0,0,14.1,0,3.53,5.52,0,0.71,1.84,0,85,32.6,0.8,118.4,2,2,4,2,0,1,1,2,1,0,12.1,0.1,4.7,5,3,0,8,1,1,0,2,6.2,105.5,1.6,-0.1,0.3,0,0,1.8,29.6,4.8,-1.3,0.1,0.8,4.5,75.9,,,"$165,000",3.4,2.3,3.5,0.1,1.3,1.2,15.8,1.2,Apr 05 '83 ,Sturgeon Lake ,MN ,USA ,72,195,4,L ,Y ,,,,"$850,000",0
2006-07,Chi,TB,Clb,"MacDonald, Craig ",Craig MacDonald,C ,25,3,2,5,-2,14,30,10.0%,423,0,0,85,93,47.8%,12.9,0,0,1,0,2,2,0,0,4.1,0,11.8,11.8,1.78,0,0.82,2.66,0,9.01,202.7,4.1,73.3,280.1,17,21,8,6,3,3.6,4.5,1.7,1.3,0.6,8.1,2.9,0.2,6,0,1,7,9,0,11,20,2.9,21,0.6,-0.2,-0.1,1.7,0,2,14,1.4,0,0.7,-1.1,1,7,48,165000,"$165,000",5.1,8,-2.7,-0.3,-1.7,0.3,1.7,0,07 Apr '77 ,Antigonish ,NS ,CAN ,73,195,27,L ,N,0,0,0,,0
2007-08,Chi,TB,Clb,"MacDonald, Craig ",Craig MacDonald,C/LW,65,2,9,11,-10,16,84,2.4%,,0,0,202,204,49.8%,11.4,0,0,0,0,2,9,0,0,0,0,4.2,19.1,1.59,13.69,0.44,2.76,0,4.39,565.3,4.4,136.8,706.5,33,54,27,4,21,2.8,4.6,2.3,0.3,1.8,8.7,2.1,0.1,15,1,1,17,26,0,10,36,19.3,54.6,-0.2,-0.2,-0.5,-2.1,0,-3,-8.5,4.1,0,14.4,3.8,22.3,63.1,38,165000,"$165,000",12.7,14.8,-5.9,-1.9,-4.5,0.3,0.7,-1.6,Apr 07 '77 ,Antigonish ,NS ,CAN ,73,201,29,L ,,,,,"$500,000",0
2006-07,Clb,,Clb,"Campbell, Darcy ",Darcy Campbell,D ,1,0,0,0,0,0,0,0.0%,8,0,0,0,0,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6,0.1,0,5.7,0,0,1,0,0,0,0,10.6,0,0,5.6,0,0.1,0,0,0,0,0,0,0,0,0.3,114.1,0,0,0,0,0,0,-17.3,0.3,0,0,0.1,0.4,131.4,,,"$165,000",0.1,0.1,0,0,0,0,0,0,12 May '84 ,Airorie ,AB ,CAN ,73,180,37,,Y ,0,0,0,,0
2006-07,Clb,Clb,Clb,"Vyborny, David ",David Vyborny,RW,82,16,48,64,6,60,158,10.1%,2213,2,0,102,167,37.9%,5.8,6,21,0,0,10,27,4.8,16.9,0,0,11.2,30.4,2.64,6.91,0,1.86,0.8,7.66,1067.1,373.4,227.3,1667.7,27,53,41,27,47,1,1.9,1.5,1,1.7,13,2.8,4.6,47,43,0,90,33,5,29,67,68.8,82.5,19,13.9,0.1,-2.4,17.1,47.6,57.1,13.6,0.5,4.4,2.6,21.2,25.4,56,2402358,"$2,402,358",36.7,32.6,16.6,5.3,4.7,5.3,4.7,10.6,22 Jan '75 ,Jihlava ,,CZE ,70,189,,L ,N,9,5,1,,0
2007-08,Clb,Clb,Clb,"Vyborny, David ",David Vyborny,RW,66,7,19,26,-8,34,106,6.6%,,0,0,21,36,36.8%,1.5,2,10,0,0,5,9,3.4,16.9,0,0,8.1,14.6,1.63,6.43,1.12,2.36,0.34,5.6,737.9,177.2,107.1,1022.2,23,36,21,12,25,1.4,2.1,1.2,0.7,1.5,11.2,1.6,2.7,20,19,2,41,29,1,10,40,14.2,27.8,0.6,4.4,-2.3,-1.3,-2.6,-1.2,-2.4,8.2,0.1,7.1,0.1,15.5,30.2,49,898792,"$1,116,681",21.9,19.5,-6,-0.5,-0.8,0.8,1.2,-0.4,Jan 22 '75 ,Jihlava ,,CZE ,70,181,9,L ,,,,,"$2,200,000",0
2006-07,Atl,Clb,Clb,"MacKenzie, Derek ",Derek MacKenzie,C ,4,0,0,0,1,0,3,0.0%,29,0,0,9,7,56.3%,7.1,0,0,0,0,0,0,0,0,0,0,0,0,3.01,0,0,0,0,0,20,0,0,20,0,4,1,1,1,0,12,3,3,3,5,0,0,1,0,0,1,0,0,0,0,0,-2.7,-0.5,0,0,0,0,-0.5,-52.1,0.3,0,0,0.2,0.5,49.4,,,"$165,000",0.5,0.5,1,-0.2,-20,0.2,20,0,11 Jun '81 ,Sudbury ,ON ,CAN ,71,185,,L ,N,0,0,0,,0
2007-08,Atl,Clb,Clb,"MacKenzie, Derek ",Derek MacKenzie,C,17,2,0,2,-2,8,19,10.5%,,0,0,25,48,34.2%,7.7,0,0,0,0,2,0,0,0,0,0,18.9,0,0.95,0,0,1.89,0,0,127,1.1,4.1,132.2,4,12,7,2,7,1.8,5.4,3.2,0.9,3.2,7.5,0.2,0.1,2,0,0,2,4,0,0,4,2.5,37.3,1.3,-0.1,0.8,-0.1,0,2,30.4,1.8,-0.4,0.6,-1.5,0.5,6.9,,,"$165,000",3,2.9,-1.7,-0.4,-5.8,-0.1,-1.5,-0.5,Jun 11 '81 ,Sudbury ,ON ,CAN ,71,185,26,L ,,,,,"$500,000",0
2007-08,,Clb,Clb,"Brassard, Derick ",Derick Brassard,C,17,1,1,2,-4,6,13,7.7%,,0,0,34,46,42.5%,8.2,0,0,0,0,1,1,0,0,0,0,9.6,9.6,1.44,4.19,0,3.36,0,0,125.2,28.7,0.1,153.9,0,11,4,3,4,0,4.3,1.6,1.2,1.6,7.4,0,1.7,3,2,0,5,7,0,0,7,-0.8,-10.5,-0.1,-1.5,0.6,0,0,-1,-12.8,0.4,0.1,0,-0.4,0.2,2.2,,,"$165,000",4,3.4,-3.5,-1,-11,-0.3,-3.3,-1.3,Sep 22 '87 ,Hull ,QC ,CAN ,72,180,16,L ,Y ,,,,"$1,246,667",0
2007-08,,Clb,Clb,"Tarnstrom, Dick ",Dick Tarnstrom,D,19,,,,-5,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1.6,5.25,0,2.51,0.66,7.52,262.6,91.5,8,362,,,,,,0,0,0,0,0,13.8,0.4,4.8,7,8,0,15,11,1,1,13,10.7,59.1,1.7,2.2,-0.5,0,0,3.4,18.8,6.1,0.7,0.4,0.1,7.3,40.3,,,"$165,000",,,,,,,,,,,,,,,,,,,,,"$2,000,000",1
2007-08,,Edm,Clb,"Tarnstrom, Dick ",Dick Tarnstrom,D,29,1,4,5,-6,40,22,4.5%,,,,0,0,0.0%,,,,,,,,0,0,0,0,0,0,1.96,1.79,2.48,3.22,0,6.61,428.2,67.2,72.7,568.1,,,,,,0,0,0,0,0,14.8,2.5,2.3,14,2,3,19,23,0,8,31,0.1,0.3,1.8,-1.8,-1,-0.2,0,-1.2,-4.1,2.8,1.7,2.3,-5.6,1.2,4.4,34,167229,"$472,854",,,,,,,,,,,,,,,,,,,,,"$2,000,000",1
2007-08,,Clb,Clb,"Tarnstrom, Dick ",Dick Tarnstrom,D,48,3,11,14,-11,52,44,6.8%,,0,0,0,0,0.0%,0,1,6,0,0,2,5,1.9,11.3,0,0,3.5,8.7,1.82,3.78,2.23,2.95,0.38,6.7,690.8,158.7,80.6,930.1,71,22,30,24,7,4.6,1.4,1.9,1.5,0.5,14.4,1.7,3.3,21,10,3,34,34,1,9,44,10.8,23.2,3.4,0.5,-1.5,-0.2,0,2.2,4.8,9,2.4,2.7,-5.6,8.5,18.4,41,845290,"$1,444,037",18.9,19.3,-8,1,1.7,-0.4,-0.7,0.6,Jan 20 '75 ,Sundbyberg ,,SWE ,73,205,23,L ,,,,,"$2,000,000",2
2006-07,NYR,NYR,Clb,"Tyutin, Fedor ",Fedor Tyutin,D ,66,2,12,14,-8,44,75,2.7%,1726,0,0,0,1,0.0%,0,1,1,1,1,0,10,3.6,3.6,1.6,1.6,0,11.4,1.88,2.17,0.65,2.68,0,7.11,1053.1,83.1,185.7,1321.9,102,149,35,44,20,4.6,6.8,1.6,2,0.9,16,2.8,1.3,33,3,2,38,47,0,22,69,28.2,42.7,-0.4,-0.3,0.2,2.5,0,1.9,2.9,17.1,2.4,5.7,1.1,26.3,39.8,60,1916599,"$2,381,229",21.7,31.1,-14,-0.1,-0.1,-0.1,-0.1,-0.2,19 Jul '83 ,Izhevsk ,,RUS ,75,210,,L ,N,0,0,0,,0
2007-08,NYR,NYR,Clb,"Tyutin, Fedor ",Fedor Tyutin,D,82,5,15,20,5,43,131,3.8%,,0,0,0,0,0.0%,0,1,5,0,1,4,9,1.7,8.3,0,1.5,3.7,8.3,2.45,4.96,0.61,2.22,0.66,5.15,1296.7,181.5,198.1,1676.2,112,218,52,41,25,4,7.8,1.9,1.5,0.9,15.8,2.4,2.2,53,15,2,70,48,2,17,67,49.9,59.6,5.4,-1,-3,0.2,0,1.7,2,27.9,2.4,12.6,5.3,48.2,57.6,67,3551957,"$3,551,957",33.8,37.5,1.6,-0.2,-0.2,5.6,5.4,5.4,Jul 19 '83 ,Izhevsk ,,RUS ,75,210,51,L ,,,,,"$987,500",0
2006-07,Clb,,Clb,"Novak, Filip ",Filip Novak,D ,6,0,0,0,1,2,3,0.0%,95,0,0,0,0,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,3.31,0,0,2.21,0,0,54.4,5.1,0.1,59.5,0,5,3,2,1,0,5,3,2,1,9.1,0,0.8,3,0,0,3,2,0,0,2,1.3,42.1,-0.4,-0.2,0,0,0,-0.6,-20.1,1.6,0.1,0,0.1,1.9,62.2,,,"$165,000",1.3,1.6,1.4,-0.3,-9.3,0.5,15.5,0.2,07 May '82 ,Ceske Budejovice ,,CZE ,72,203,46,L ,Y ,0,0,0,,0
