Season,Tm07,Tm08,Tm09,Player,Player,Pos,GP,G,A,PTS,+/-,PIM,SOG,SPCT,SHFT,GWG,GTG,FOW,FOL,FO%,%Tm,PPG,PPA,SHG,SHA,ESG,ESA,PPG,PPA,SHG,SHA,ESG,ESA,ESGFA,PPGFA,SHGFA,ESGAA,PPGAA,SHGAA,MOIEH,MOIPP,MOISH,TMOI,BkS,Hits,MsS,GvA,TkA,BkS,Hits,MsS,GvA,TkA,AESMOI,ASHMOI,APPMOI,PLEH,PLPP,PLSH,PLT,MIEH,MIPP,MISH,MIT,PC,PC*,PCOEH,PCOPPP,PCOPPO,PCOSH,PCOSO,PCO,PCO*,PCDEH,PCDPP,PCDSHK,PCDSHO,PCD,PCD*,Def,Value,WiS Value,OGIT,DIT,RPM,Val OG,ValO,Val D,ValD,Tot,Date of Birth,City,Pr/St,Ctry,Ht,Wgt,Jersey,Shts,Rook,S-O,S-OG,S-OGW,Cap Cost,Nat
2007-08,Was,Was,Ana,"Sutherby, Brian ",Brian Sutherby,C,5,,,,-2,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1.78,0,0,5.34,0,0,33.7,0.2,0.3,34.1,,,,,,0,0,0,0,0,6.7,0.1,0,1,0,0,1,3,0,0,3,0.7,43.2,1.4,0,0.1,0,0,1.5,90.3,-0.4,0,0,-0.4,-0.8,-47.1,,,"$165,000",,,,,,,,,,,,,,,,,,,,,"$800,000",1
2007-08,Was,Ana,Ana,"Sutherby, Brian ",Brian Sutherby,C,50,1,1,2,-4,64,49,2.0%,,0,0,128,150,46.0%,9.9,0,0,0,0,1,1,0,0,0,0,3.4,3.4,0.85,0,0,1.52,0,2.52,354.5,3.6,71.5,429.5,17,67,15,8,8,2.4,9.4,2.1,1.1,1.1,7.1,1.4,0.1,5,0,0,5,9,0,3,12,1.1,5.2,-5.8,-0.2,-0.1,-0.8,0,-7,-32.4,3.7,0,4.4,0,8.1,37.6,54,165000,"$165,000",6.9,7.6,-5.4,-2.3,-9.1,-0.3,-1.2,-2.6,Mar 01 '82 ,Edmonton ,AB ,CAN ,75,210,17,L ,,,,,"$800,000",2
2006-07,Ana,Ana,Ana,"Kunitz, Chris ",Chris Kunitz,LW,81,25,35,60,23,81,180,13.9%,1787,5,0,4,9,30.8%,0.2,11,9,0,0,14,26,10.1,8.2,0,0,16.4,30.4,3.56,8.98,0,2.04,0.37,2.28,1027.5,327.3,26.3,1381.2,15,159,79,47,28,0.7,6.9,3.4,2,1.2,12.7,0.3,4,61,49,0,110,35,2,1,38,53.8,77.9,27.7,10.8,0,-0.3,4,42.2,61.1,10.1,0.5,2,-1.1,11.6,16.7,78,4043191,"$4,093,107",34,25.3,17,5.8,6.7,5.2,6,11.1,26 Sep '79 ,Regina ,SK ,CAN ,71,198,14,L ,N,6,2,0,,0
2007-08,Ana,Ana,Ana,"Kunitz, Chris ",Chris Kunitz,LW,82,21,29,50,8,80,196,10.7%,,6,0,16,33,32.7%,1,7,6,1,1,13,22,8.2,7,3.5,3.5,14.9,25.3,2.7,7.28,1.41,2.01,1.41,2.82,1045.5,255.5,85.1,1386.2,19,159,66,32,32,0.8,6.9,2.9,1.4,1.4,12.8,1,3.1,47,31,2,80,35,6,4,45,50.5,72.9,26.3,5.2,-2.7,3,5.6,37.4,53.9,8.8,-0.2,5,-0.5,13.1,18.9,68,3939766,"$3,939,766",35.7,28.2,3.5,2.5,2.9,3,3.5,5.8,Sep 26 '79 ,Regina ,SK ,CAN ,71,195,14,L ,,,,,"$1,056,250",0
2006-07,Ana,Ana,Ana,"Pronger, Chris ",Chris Pronger,D ,66,13,46,59,27,69,166,7.8%,1836,2,0,1,3,25.0%,0.1,8,28,0,0,5,18,6.3,22,0,0,5.2,18.7,2.8,8.94,0.24,1.61,0,5.78,1156.6,382.7,249.3,1788.6,104,77,75,41,39,3.5,2.6,2.5,1.4,1.3,17.5,3.8,5.8,54,57,1,112,31,0,24,55,96.1,107.5,15.6,24.1,0,-0.6,-0.5,38.6,43.1,35.1,9.1,12.3,1.1,57.6,64.4,85,6050546,"$7,517,345",39.8,34.8,20.7,11.1,9.2,10.1,8.3,21.3,10 Oct '74 ,Dryden ,ON ,CAN ,78,220,,L ,N,0,0,0,,0
2007-08,Ana,Ana,Ana,"Pronger, Chris ",Chris Pronger,D,72,12,31,43,-1,128,182,6.6%,,4,0,4,3,57.1%,0.1,8,22,0,1,4,8,6.7,18.5,0,1,4,7.9,1.83,6.73,0.59,1.88,0.5,5.74,1212.3,356.8,302.9,1872,99,74,65,37,39,3.2,2.4,2.1,1.2,1.2,16.8,4.2,5,37,40,3,80,38,3,29,70,65.5,70,6.8,22.4,-1.4,0.1,-1.1,26.8,28.6,28,4.5,12.3,-6,38.8,41.4,69,4703847,"$5,357,159",41.1,36.3,-6.1,6.5,5.1,2.5,2,8.7,Oct 10 '74 ,Dryden ,ON ,CAN ,78,213,25,L ,,,,,"$6,250,000",0
2006-07,Ana,Ana,Ana,"Perry, Corey ",Corey Perry,RW,82,17,27,44,12,55,194,8.8%,1365,3,0,9,12,42.9%,0.4,4,16,0,0,13,11,5.5,21.8,0,0,19.6,16.6,2.79,7.36,0,1.58,0.82,22.29,797.1,220,5.4,1022.4,13,59,68,31,32,0.8,3.5,4,1.8,1.9,9.7,0.1,2.7,37,27,0,64,21,3,2,26,34.4,67.3,17.6,10.6,0,-0.1,0.5,28.7,56.1,9.7,0,-0.7,-3.3,5.7,11.2,74,2528083,"$2,528,083",23.2,18.6,8,4.9,7.9,3.1,5,8.1,16 May '85 ,Peterborough ,ON ,CAN ,75,202,10,R ,N,0,0,0,,0
2007-08,Ana,Ana,Ana,"Perry, Corey ",Corey Perry,RW,70,29,25,54,12,108,200,14.5%,,4,0,3,13,18.8%,0.4,11,6,0,0,18,19,13.5,7.4,0,0,21.7,22.9,3.32,5.91,0,2.41,0.74,3.35,994.8,243.8,17.9,1256.5,11,95,85,43,29,0.5,4.5,4.1,2.1,1.4,14.2,0.3,3.5,55,24,0,79,40,3,1,44,64.9,103.3,35.4,13.6,5.1,-0.2,14.5,68.4,108.9,6.8,0.2,1,-11.5,-3.5,-5.6,66,4439766,"$5,200,869",34.4,27.9,6.3,5.6,7.4,3.5,4.6,10.6,May 16 '85 ,Peterborough ,ON ,CAN ,75,209,10,R ,,,,,"$633,333",0
2006-07,NJ,Ana,Ana,"LaCouture, Dan ",Dan LaCouture,LW,6,0,0,0,0,7,0,0.0%,55,0,0,0,0,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.6,0.1,0,29.7,0,11,0,1,0,0,22.2,0,2,0,4.9,0,0,0,0,0,0,0,0,0,0,-0.4,-28.1,-0.7,0,0,0,0,-0.8,-50.7,0.6,0,0,-0.3,0.3,22.5,,,"$165,000",0.5,0.5,0,-0.2,-13.4,0,0,-0.2,18 Apr '77  ,Hyannis  ,MA  ,USA  ,74,215,22,L  ,N,0,0,0,,0
2007-08,,Ana,Ana,"Miller, Drew ",Drew Miller,LW,26,2,3,5,-1,6,30,6.7%,,0,0,3,6,33.3%,0.6,0,0,0,0,2,3,0,0,0,0,9.3,13.9,1.39,0,0,1.62,0,7.33,259,7.4,24.6,290.9,11,12,12,4,6,2.3,2.5,2.5,0.8,1.2,10,0.9,0.3,6,0,0,6,7,0,3,10,3.2,22.1,0.5,-0.4,-0.9,-0.3,0,-1.1,-7.2,2.7,0,0.5,1,4.3,29.3,66,488777,"$1,541,527",5.1,5.8,-2.5,-0.4,-2.5,0.1,0.6,-0.3,Feb 17 '84 ,Dover ,NJ ,USA ,74,165,18,L ,Y ,,,,"$677,500",0
2006-07,NYI,,Ana,"Boguniecki, Eric ",Eric Boguniecki,C ,11,0,0,0,0,8,2,0.0%,77,0,0,0,0,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.7,0.2,0,53.9,1,12,1,0,3,1.1,13.3,1.1,0,3.3,4.9,0,0,0,0,0,0,0,0,0,0,-1.9,-70.8,-1.3,0,0,0,0,-1.3,-49,0.8,0,0,-1.4,-0.6,-21.8,,,"$165,000",0.8,0.8,0,-0.4,-14.8,0,0,-0.4,06 May '75 ,New Haven ,CT ,USA ,68,198,33,R ,N,0,0,0,,0
2006-07,Ana,Ana,Ana,"Beauchemin, Francois ",Francois Beauchemin,D ,71,7,21,28,7,49,128,5.5%,1934,0,0,0,1,0.0%,0,2,11,0,0,5,10,2.8,15.5,0,0,4.6,9.1,2.42,5.92,0.43,2.15,0.56,5.96,1314,212.9,281.7,1808.5,75,118,47,54,27,2.5,3.9,1.6,1.8,0.9,18.5,4,3,53,21,2,76,47,2,28,77,65.8,72.7,7.8,4.8,0,-0.7,0,11.9,13.2,31,2.4,13.2,7.2,53.9,59.6,69,3636021,"$4,199,348",31.3,38.9,-2.6,2.6,2.3,4.2,3.6,6.8,04 Jun '80 ,Sorel ,QC ,CAN ,72,210,23,L ,N,0,0,0,,0
2007-08,Ana,Ana,Ana,"Beauchemin, Francois ",Francois Beauchemin,D,82,2,19,21,-9,59,144,1.4%,,2,0,0,1,0.0%,0,0,7,0,1,2,11,0,9.3,0,0.9,1.6,8.6,1.81,3.19,0.7,2.16,1.06,7.75,1527,225.9,340.5,2093.4,71,97,83,46,36,2,2.8,2.4,1.3,1,18.6,4.2,2.8,46,12,4,62,55,4,44,103,43.7,41.7,3.5,-2.6,0,0.5,0,1.4,1.4,29.8,0.9,6.8,4.7,42.3,40.4,53,2183522,"$2,183,522",35.4,48.7,-22.1,-0.6,-0.5,-0.4,-0.3,-1.1,Jun 04 '80 ,Sorel ,QC ,CAN ,72,213,23,L ,,,,,"$1,650,000",0
